Country,badteeth,literacy_avg,GDP_avg,sugar_avg,health_avg
Saudi Arabia,5.9,80.04662398,10460.15937,63.51159091,282.8266621
Guatemala,5.2,69.72354305,1487.355625,97.75818182,44.11168077
Mauritius,4.9,84.33963292,3074.829677,120.55,100.2651114
Brunei,4.8,88.43912939,20991.51965,108.22,549.706067
Bosnia and Herzegovina,4.8,97.33285922,1590.190034,45.10153846,132.6981303
Bolivia,4.7,83.75549859,1003.185864,75.77659091,39.16025764
Gabon,4.4,81.6744073,4279.960699,38.48204545,73.89836311
Bulgaria,4.4,98.27800194,1764.217503,88.16863636,130.6228972
Ukraine,4.4,99.57457521,966.073658,114.4376923,61.85423115
India,3.94,55.10183412,341.5790419,56.66363636,7.254129594
Paraguay,3.8,90.70098215,1179.063372,59.77409091,44.13215599
Honduras,3.7,83.3696746,1060.410593,89.97409091,45.75776954
Lithuania,3.6,99.26352366,4027.049235,94.20384615,292.3633162
Panama,3.6,90.71133356,3402.295409,89.725,245.0191399
Croatia,3.5,97.90964212,5472.736277,132.9830769,525.1530329
Lebanon,3.4,89.61243888,4830.489833,85.92659091,180.2631178
Latvia,3.4,99.66103676,3357.717289,97.36538462,241.6457269
Chile,3.4,95.66776977,3464.026061,105.6045455,215.7759991
Argentina,3.4,96.27328429,7082.771079,111.4581818,325.7321278
Hungary,3.3,98.97954632,3718.550575,114.5715909,459.915086
Jordan,3.3,88.07915948,1891.887731,97.01090909,122.8614744
Poland,3.2,99.37338773,4566.766426,116.6890909,324.6202482
Madagascar,3.1,67.58353761,315.443682,25.65636364,7.48039777
Mozambique,3.05,41.13807656,233.6930237,20.17636364,10.3933362
"Macedonia, FYR",3.03,95.85429305,1855.310024,91.46384615,139.2009583
Albania,3.02,97.165639,1201.566009,49.50431818,52.02259185
Ecuador,3,87.81087163,1251.430258,100.7472727,49.56696537
Russia,2.9,99.03709641,2226.69589,107.0607692,162.0197105
Peru,2.9,87.15629562,2145.711572,90.34772727,80.70300494
Philippines,2.9,91.50039622,989.5103999,63.2,16.92246423
Cape Verde,2.8,75.90841301,1100.478638,80.07613636,70.72183577
Romania,2.8,97.23649932,2018.853115,63.88386364,161.5108462
Brazil,2.8,87.4886818,3115.99188,130.6997727,180.8325702
Estonia,2.7,99.76350889,5031.726881,112.7507692,366.2522344
Belarus,2.7,99.03038839,1620.059149,100.5269231,119.5114102
Turkey,2.7,82.9523598,3210.344606,65.56568182,222.5498258
Kuwait,2.6,81.76192497,22128.66605,103.3627273,663.3425733
Turkmenistan,2.6,99.19344838,797.9417397,34.56538462,46.4433998
Morocco,2.5,50.41232048,1102.538657,86.86045455,28.80903315
Uruguay,2.5,97.02256849,5577.317873,94.02181818,350.1057495
Samoa,2.5,98.4431933,1397.679617,65.1275,88.01540056
Georgia,2.4,99.69240948,1270.315899,64.48846154,21.62983217
Armenia,2.4,99.24009715,846.426661,42.99538462,23.78950452
Gambia,2.3,43.96249829,586.086973,64.19818182,8.721181418
Cambodia,2.3,73.10788816,366.2223289,15.44363636,7.875275647
Moldova,2.3,97.33405826,637.2843399,75.23461538,37.79909412
Colombia,2.3,91.67623532,2121.579669,137.0522727,181.6833484
Costa Rica,2.3,94.58508302,3240.432619,156.3497727,270.4157802
Zambia,2.3,65.89439034,449.4558839,36.42954545,21.87242495
Algeria,2.3,64.05102148,1714.327647,67.99522727,75.42200636
Syria,2.3,75.8613029,987.8575421,83.62431818,29.6008869
Mali,2.2,23.86604993,205.5002555,17.56090909,9.910282147
Greece,2.2,94.1047336,9290.291698,77.95704545,1023.383018
Indonesia,2.2,86.96935548,546.408239,36.305,13.25686169
Maldives,2.1,93.59985861,2785.012608,85.98863636,139.0476405
Kazakhstan,2.1,98.92481754,1637.254062,60.06230769,83.29988787
Venezuela,2.1,91.6407849,5487.327322,108.5936364,129.6933999
Mauritania,2,54.91079399,523.3851374,65.13159091,17.40109948
Mexico,2,90.95214801,4644.928797,116.9381818,173.0526168
Vietnam,1.9,89.0432578,395.8916969,20.36318182,12.37825716
Mongolia,1.9,97.56237085,535.9387204,41.97,30.06576308
Suriname,1.9,92.96491532,2243.78975,102.74,116.8999379
Slovenia,1.8,99.62398889,10274.08709,48.05384615,969.4913005
Angola,1.7,68.88391802,383.5299596,33.12909091,42.78416252
Israel,1.66,91.75140848,14303.34955,110.0259091,986.4813179
Malaysia,1.6,83.55933662,2584.037257,98.56772727,108.7923006
Thailand,1.6,91.37826014,1267.448018,44.27295455,66.53029117
United Arab Emirates,1.6,71.59467373,38226.27704,102.5531818,702.9559639
Malta,1.6,89.40465339,6969.586358,139.1695455,723.1922098
Ethiopia,1.55,32.9319187,139.9372134,9.091818182,4.023055921
Portugal,1.5,87.60585944,7576.13681,74.71840909,1013.18351
Cameroon,1.5,62.89895402,598.7757822,14.94545455,9.416617745
Nicaragua,1.5,77.34005327,1277.797569,109.1540909,36.90700362
Seychelles,1.5,88.92832319,4908.832921,90.65909091,348.8603242
Cuba,1.4,99.15999159,2897.768909,156.5386364,271.2332358
Sri Lanka,1.4,90.00176248,604.2787721,57.65954545,20.084885
Uzbekistan,1.4,99.03778674,657.5845087,30.77230769,18.59270812
Sudan,1.4,66.64182156,321.0235712,46.20477273,10.5426283
